id;originating_ip_address;origin_header;user_agent;return_url_success;return_url_failed;return_url_cancelled;simulated_status;ideal_bic;payment_method_transaction_id;payment_method_void_transaction_id;token;cash_flows_acquiring_details;descriptor;ewallet_type;payment_status
1;EXE Montana;Surinam override;Avon Executive;copying frictionless Peso;Convertible;Practical Hills;calculate;Island incremental;Gorgeous;zero Inverse programming;Denmark invoice;Technician XSS;Loan Sports;redundant;COMMISSIONED
2;Pants generating Unbranded;North;Ball;Loan circuit Officer;Naira Alabama Cambridgeshire;Ball;feed invoice;generating withdrawal payment;Garden;connecting;programming Lilangeni;hack Plastic leverage;demand-driven capacitor Identity;upward-trending green;RESERVED
3;Reduced indexing;Towels Awesome enterprise;Garden;purple Fresh bandwidth;Facilitator;Plastic District;lavender;Planner Sausages mobile;Cambridgeshire Chips Generic;Programmable;multi-byte Nebraska Focused;portals Summit iterate;experiences;Oklahoma Rustic Internal;DECLINED
4;Taka killer Quality-focused;Clothing;Polarised Loan Awesome;Oro Borders copy;ROI Cheese Metal;Indian;circuit compress Plastic;Ireland Fresh;red Arizona;Fantastic TCP program;Trinidad Wooden;web-enabled;Lek drive;backing Bedfordshire;RESERVED
5;platforms frictionless;Designer Comoros red;AGP;vertical;XSS Small;Wooden Optional;SSL context-sensitive;bus navigate Home;Kids experiences neural;platforms Overpass;payment payment Anguilla;Plaza plug-and-play Table;Jersey;Internal Oklahoma Computers;COMMISSIONED
6;Steel Rubber;bi-directional;Bacon sticky indigo;index Proactive Concrete;Florida Pizza;responsive redefine;concept Birr;Mouse magenta Metal;Senior;Tala services;online;Sleek;Uzbekistan;calculating Ergonomic;REJECTED
7;payment;International Self-enabling Progressive;Director;Awesome;Loan calculate strategize;Towels;Awesome;generate Concrete real-time;Beauty Alley;Cyprus Soft;payment withdrawal;magenta deliverables Ranch;Island cross-media;Soft Fantastic harness;VERIFIED
8;Account copy Shoes;override purple Automotive;Refined;vertical stable fuchsia;Synergized;Market generating;morph array Borders;Handmade Designer Kwanza;implement value-added;JSON;Quality Assistant maroon;Bedfordshire Account Planner;Investment;transmitter;CANCELLED
9;real-time Georgia;Tonga;Sports;Fresh;Officer human-resource Maine;Nevada;navigate Ergonomic e-markets;wireless Hat optical;Movies withdrawal Bedfordshire;niches Wooden Account;Car generating;benchmark Wyoming;Customer;Industrial;PAID
10;Buckinghamshire 1080p;hack;Ports;cross-platform disintermediate Buckinghamshire;Carolina deposit Glen;Forward Junctions Integrated;haptic;Paraguay Incredible Account;cross-platform Vietnam;Buckinghamshire;Frozen Iraqi capacitor;ADP;invoice;gold bluetooth Baby;DECLINED
